Order Date,Order ID,Product Name,Category,City,Country,Customer Name,Discount,Postal Code,Manufacturer,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category,Year,Revenue,Running Total
2015-11-11,CA-2015-105893,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Madison,United States,Pete Kriz,0.0,53711.0,Other,13.0,0.02,6.0,Central,666.0,Consumer,2015-11-18,Standard Class,Wisconsin,Storage,2015,3996.0,3996.0
2015-10-20,CA-2015-146703,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Westland,United States,Patrick O'Donnell,0.0,48185.0,Gould Plastics,8.0,0.04,4.0,Central,212.0,Consumer,2015-10-25,Second Class,Michigan,Storage,2015,848.0,4844.0
2015-11-26,US-2015-147606,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Houston,United States,Joel Eaton,0.6,77070.0,Eldon,-14.0,-0.75,5.0,Central,19.0,Consumer,2015-12-01,Second Class,Texas,Furnishings,2015,95.0,4939.0
2015-12-26,US-2015-152030,Global Deluxe High-Back Manager's Chair,Furniture,Houston,United States,Alan Dominguez,0.3,77041.0,Global,-9.0,-0.01,3.0,Central,601.0,Home Office,2015-12-28,Second Class,Texas,Chairs,2015,1803.0,6742.0
2015-09-20,US-2015-134614,Bevis 44 x 96 Conference Tables,Furniture,Bloomington,United States,Philip Fox,0.5,61701.0,Bevis,-408.0,-0.66,6.0,Central,618.0,Consumer,2015-09-25,Standard Class,Illinois,Tables,2015,3708.0,10450.0
2015-09-08,CA-2015-139892,BIC Brite Liner Highlighters,Office Supplies,San Antonio,United States,Becky Martin,0.2,78207.0,BIC,3.0,0.28,3.0,Central,10.0,Consumer,2015-09-12,Standard Class,Texas,Art,2015,30.0,10480.0
2015-09-08,CA-2015-139892,Lexmark MX611dhe Monochrome Laser Printer,Technology,San Antonio,United States,Becky Martin,0.4,78207.0,Other,-1360.0,-0.17,8.0,Central,8160.0,Consumer,2015-09-12,Standard Class,Texas,Machines,2015,65280.0,75760.0
2015-09-08,CA-2015-139892,Space Solutions HD Industrial Steel Shelving.,Office Supplies,San Antonio,United States,Becky Martin,0.2,78207.0,Space Solutions,-59.0,-0.21,3.0,Central,276.0,Consumer,2015-09-12,Standard Class,Texas,Storage,2015,828.0,76588.0
2015-09-08,CA-2015-139892,SAFCO Arco Folding Chair,Furniture,San Antonio,United States,Becky Martin,0.3,78207.0,SAFCO,-25.0,-0.01,9.0,Central,1740.0,Consumer,2015-09-12,Standard Class,Texas,Chairs,2015,15660.0,92248.0
2015-09-08,CA-2015-139892,Sanford Liquid Accent Highlighters,Office Supplies,San Antonio,United States,Becky Martin,0.2,78207.0,Sanford,7.0,0.21,6.0,Central,32.0,Consumer,2015-09-12,Standard Class,Texas,Art,2015,192.0,92440.0
2015-09-08,CA-2015-139892,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,San Antonio,United States,Becky Martin,0.8,78207.0,Kensington,-454.0,-2.55,5.0,Central,178.0,Consumer,2015-09-12,Standard Class,Texas,Appliances,2015,890.0,93330.0
2015-09-08,CA-2015-139892,JBL Micro Wireless Portable Bluetooth Speaker,Technology,San Antonio,United States,Becky Martin,0.2,78207.0,Other,9.0,0.06,3.0,Central,144.0,Consumer,2015-09-12,Standard Class,Texas,Phones,2015,432.0,93762.0
2015-09-14,US-2015-100853,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Chicago,United States,Jennifer Braxton,0.8,60623.0,Kensington,-131.0,-2.5,2.0,Central,52.0,Corporate,2015-09-19,Standard Class,Illinois,Appliances,2015,104.0,93866.0
2015-09-14,US-2015-100853,Avery 51,Office Supplies,Chicago,United States,Jennifer Braxton,0.2,60623.0,Avery,7.0,0.33,4.0,Central,20.0,Corporate,2015-09-19,Standard Class,Illinois,Labels,2015,80.0,93946.0
2015-12-05,CA-2015-166191,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Decatur,United States,David Kendrick,0.2,62521.0,Tenex,2.0,0.08,2.0,Central,25.0,Corporate,2015-12-09,Second Class,Illinois,Storage,2015,50.0,93996.0
2015-12-05,CA-2015-166191,ImationÂ Secure+ Hardware Encrypted USB 2.0Â Flash Drive; 16GB,Technology,Decatur,United States,David Kendrick,0.2,62521.0,Imation,77.0,0.19,7.0,Central,409.0,Corporate,2015-12-09,Second Class,Illinois,Accessories,2015,2863.0,96859.0
2015-06-01,CA-2015-131926,Global Deluxe High-Back Manager's Chair,Furniture,Lakeville,United States,Dianna Wilson,0.0,55044.0,Global,581.0,0.29,7.0,Central,2002.0,Home Office,2015-06-06,Second Class,Minnesota,Chairs,2015,14014.0,110873.0
